,gene_name
797,NR4A2
798,DDR2
799,PAX8
800,FGB
801,FOSL1
802,PLG
803,VTN
804,ID2
805,STK3
806,TRAF3IP2
807,GRIN1
808,FZD9
809,ITGA4
810,FXN
811,TRPM4
812,PIK3CD
813,LRP8
814,ACTN4
815,TYRO3
816,FOXA1
817,SLC1A3
818,GPC3
819,CCN3
820,ADAM9
821,TCF7L2
822,PRKCG
823,ATP1B2
824,VAMP2
825,CAMK2D
826,PTH
827,IL17A
828,LRP4
829,EGR2
830,ERN1
831,B4GALT1
832,TNKS
833,ERRFI1
834,SOX2
835,NCOA1
836,CXADR
837,PPP1CC
838,FGA
839,HDAC4
840,STK39
841,ACVR2A
842,CXCL10
843,NRP2
844,RAB27A
845,TTN
846,HTR1B
847,GNAT1
848,POU4F2
849,SLC2A4
850,TLR7
851,TNFSF11
852,JAM3
853,HLA-G
854,THY1
855,SHANK1
856,GHR
857,OPRK1
858,RTN4
859,MYO6
860,ARHGEF2
861,ABCC1
862,KITLG
863,C1QBP
864,FASN
865,APEX1
866,CASP1
867,FXR1
868,GABBR1
869,PHOX2B
870,TF
871,EIF4A3
872,LHCGR
873,GNAT2
874,SYT7
875,INHBB
876,CTSL
877,TRIM27
878,CHMP7
879,KCNB1
880,AMBRA1
881,ARRB1
882,SETX
883,PRMT5
884,RORA
885,PRKD2
886,HNF4A
887,ABCA2
888,NR4A1
889,MAP3K5
890,STX3
891,TNFSF4
892,GLRA1
893,SIN3A
894,MESP1
895,LOX
896,CHMP1B
897,PLA2G3
898,ZBTB16
899,MFSD2A
900,CCN1
901,KIF5B
902,HEXB
903,SLC26A6
904,GPLD1
905,ATXN3
906,MRE11
907,APPL1
908,CSNK1D
909,KCNC2
910,JAK1
911,LILRB2
912,RBX1
913,CYP3A4
914,RAB29
915,SMPD1
916,APPL2
917,CHMP4C
918,ITPR1
919,PAK2
920,FGG
921,RAP1A
922,CAMK2A
923,DMTN
924,EIF4G1
925,NFATC4
926,EHMT2
927,CLASP2
928,TPR
929,MYO7A
930,KRAS
931,TCF21
932,ALOX15B
933,PNPT1
934,FGR
935,AKR1C1
936,RIPK3
937,DBH
938,C3
939,ULK1
940,CR1
941,PTAFR
942,SNAPIN
943,USP9X
944,PRDM1
945,ABCB11
946,LRP6
947,TICAM1
948,APOC3
949,ADGRV1
950,RAB10
951,GLI1
952,PTPN22
953,BAD
954,DYRK1A
955,SGK1
956,VCL
957,DDB1
958,CLTC
959,CBS
960,ADRA1A
961,DPP4
962,AVPR1A
963,BAP1
964,PKN1
965,AP3B1
966,FGF1
967,ZIC3
968,NLRP6
969,GRM5
970,GBP1
971,HNRNPD
972,HYAL1
973,FOXJ1
974,KMT2A
975,MAVS
976,CHMP6
977,ABCC4
978,FZD3
979,UBE2B
980,MAD2L2
981,ECT2
982,EMILIN1
983,NEUROG1
984,RGS14
985,EREG
986,CYP4F2
987,RAD21
988,FASLG
989,SCX
990,CHMP5
991,SLC1A2
992,SMARCA2
993,SOX10
994,TAOK2
995,ATRX
996,FOLR1
997,ITGB6
998,COL2A1
999,MARK2
1000,ACTN1
1001,IL6R
1002,NDEL1
1003,SMARCA5
1004,TOR1A
1005,NTSR1
1006,MYOD1
1007,S1PR1
1008,DAXX
1009,GRN
1010,PLK3
1011,DYNLL1
1012,PLCG1
1013,CD38
1014,TMED10
1015,NOX4
1016,TOP2A
1017,TERF1
1018,IL15
1019,ARC
1020,KCNQ3
1021,NBN
1022,MLH1
1023,P4HB
1024,PPP1CA
1025,IL23A
1026,DTX3L
1027,SMAD5
1028,PKHD1
1029,WNT3
1030,LGMN
1031,CD44
1032,FKBP1B
1033,CCL11
1034,CLDN1
1035,MET
1036,ROBO1
1037,RXRA
1038,TAL1
1039,TYROBP
1040,CTNS
1041,PKN2
1042,AZU1
1043,SIRPA
1044,BBS1
1045,SLC38A2
1046,SIX4
1047,PIKFYVE
1048,FGF13
1049,MAGI2
1050,WFS1
1051,RAD50
1052,FKBP1A
1053,BMP5
1054,ABAT
1055,AHR
1056,CRIPTO
1057,SLC8A3
1058,FLT3
1059,HMGCS2
1060,MYO1C
1061,WAS
1062,HNF1B
1063,TYMS
1064,TFAP2A
1065,GIT1
1066,CASK
1067,CNTNAP2
1068,LATS1
1069,RAC2
1070,SELENOS
1071,AIF1
1072,MEN1
1073,DVL2
1074,BMP10
1075,TRIM28
1076,CD34
1077,PDCD6
1078,PLAAT3
1079,RACGAP1
1080,ILK
1081,LDB1
1082,JAK3
1083,CHEK1
1084,ZPR1
1085,CYP1A2
1086,HEY1
1087,PDE4D
1088,CYBB
1089,MUL1
1090,WWTR1
1091,BIRC5
1092,ACTN3
1093,F7
1094,SLC24A4
1095,GAPDH
1096,ABCA12
1097,RALA
1098,IKBKG
1099,RIGI
1100,CGAS
1101,SLC8A2
